index,STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT,PAYEE 1,PAYEE AMOUNT 1,PAYEE 2,PAYEE AMOUNT 2,PAYEE 3,PAYEE AMOUNT 3,PAYEE 4,PAYEE AMOUNT 4,PAYEE 5,PAYEE AMOUNT 5,PAYEE 6,PAYEE AMOUNT 6,PAYEE 7,PAYEE AMOUNT 7,PAYEE 8,PAYEE AMOUNT 8,PAYEE 9,PAYEE AMOUNT 9,PAYEE 10,PAYEE AMOUNT 10,CATEGORY 1,CATEGORY AMOUNT 1,CATEGORY 2,CATEGORY AMOUNT 2,CATEGORY 3,CATEGORY AMOUNT 3,CATEGORY 4,CATEGORY AMOUNT 4,CATEGORY 5,CATEGORY AMOUNT 5,CATEGORY 6,CATEGORY AMOUNT 6,CATEGORY 7,CATEGORY AMOUNT 7,CATEGORY 8,CATEGORY AMOUNT 8,CATEGORY 9,CATEGORY AMOUNT 9,CATEGORY 10,CATEGORY AMOUNT 10
12,CT,Christopher S. Murphy,U.S. Senate,Jr,6913286.76,Screen Strategies Media,2598074.0,Aisle 518 Strategies,837497.39,Frost Group,202622.17,Gotham Research Group,198600.0,Avis,189102.19,Rwt Productions,176190.63,Bank Of America,168820.67,PCMS LLC,140008.16,Paychex (Payroll Tax),135830.75,Strausbaker,130000.0,Media & Ads,2829851.4799999995,Digital Advertising,947423.16,Direct Mail,428032.78,Salary & Payroll,402492.54,Fundraising & Fundraising Consulting,341468.83,Travel & Lodging,306248.43999999994,Legal Services,232082.74,Credit Card Payment & Bank Fees,223606.23,Accounting & Financial Management,173606.17,Credit Card Processing Fees,167014.2
13,DE,Thomas Richard Carper,U.S. Senate,Sr,2667961.18,The Campaign Group,400067.0,Benchmark Strategies,363427.9600000001,Well & Lighthouse,329634.81,Ams Communications,321640.17,Emc Research,142550.0,Clear Channel,102343.0,Cardmember Services,92127.82,Payroll Management Assistance,77947.54999999999,Perkins Coie,71005.47,United States Postal Service/Postmaster (USPS),58124.87,Media & Ads,515761.46,Fundraising & Fundraising Consulting,365219.96,Compliance Services,329634.81,Direct Mail,321640.17,Salary & Payroll,188705.31,Polling & Research,142631.0,Credit Card Payment & Bank Fees,94453.94,Salary & Payroll Processing Fees,77947.54999999999,Meals & Catering,75506.67,Office Expenses,72676.86
14,DE,Christopher A. Coons,U.S. Senate,Jr,4290419.0600000005,Win Creative,1113891.0,Groundswell Public Strategies Inc (GPS Impact),554117.0,Payroll Management Assistance,446724.57,Kennedy Communications,395154.0,AKM Consulting,189797.49,Expedition Strategies,119917.42,Capitol Compliance Associates,105903.26,American Express (Amex),105853.62,ASP Media,97249.04,Christina A Gleason,83716.56,"PR, Communications, & Marketing",1135165.71,Digital Advertising,556117.0,Salary & Payroll Processing Fees,446724.57,Direct Mail,395154.0,Salary & Payroll,297014.25,Fundraising & Fundraising Consulting,289797.49,Polling & Research,149917.41999999998,Media & Ads,138791.59,Credit Card Payment & Bank Fees,138476.63,Compliance Services,105903.26
15,FL,Marco Rubio,U.S. Senate,Sr,17286806.9,Smart Media Group,9558979.0,The Factor,1691987.5,Campaign Solutions,1510597.84,Push Digital,455170.72,FLS Connect,439497.76,Basswood Research,305531.69,Something Else Strategies,220642.7,BB&T Financial,201321.6,Insperity,171019.52000000002,The Morning Group,166066.46000000002,Media & Ads,11509637.42,Digital & Social Media Consulting,1965768.56,Fundraising & Fundraising Consulting,1082043.5099999998,Travel & Lodging,458255.2799999999,Salary & Payroll,315310.43000000005,Polling & Research,313731.69,Credit Card Processing Fees,264905.52,Accounting & Financial Management,188440.26,Salary & Payroll Processing Fees,171019.52000000002,General Operations & Supplies,167178.66999999998
16,FL,Rick Scott,U.S. Senate,Jr,82842476.5,OnMessage,74171940.66000001,Scott Rick Gov,944925.94,Anedot,504533.26000000007,America Direct,496788.03,JSD Strategies,400093.59,Targeted Creative Communications,382749.46,Insperity,339955.0,Image Direct,304243.91000000003,Deborah Aleksander,249452.63,America Response,237874.23000000004,Media & Ads,69200714.05,Travel & Lodging,5937734.300000001,Salary & Payroll,1518304.78,Printing,1246713.75,Direct Mail,860810.84,"PR, Communications, & Marketing",746220.3200000001,Accounting & Financial Management,663848.52,Credit Card Processing Fees,597667.3600000001,Salary & Payroll Processing Fees,339955.0,Meals & Catering,331275.5
17,GA,Jon Ossoff,U.S. Senate,Sr,146397236.36999995,Buying Time Media,101545845.23,Mvar Media,24729438.81,ActBlue,5249954.64,Mothership Strategies,3473450.0700000003,Campaign Communication Solutions,1906429.36,Payroll Data Processing (Payroll),1049346.71,Hart Research Associates,1027416.0,Warnock for Georgia,976990.0,Clean Sweep Campaigns,971247.57,Winning Connections,557426.1699999999,Media & Ads,126589535.93999998,Credit Card Processing Fees,5422300.3100000005,Fundraising & Fundraising Consulting,3712280.42,Salary & Payroll,2109685.94,Digital & Social Media Consulting,1908131.41,Credit Card Payment & Bank Fees,1131732.5699999998,Polling & Research,1032576.0,Direct Mail,973479.72,"PR, Communications, & Marketing",652029.71,Printing,513449.29
18,GA,Raphael Warnock,U.S. Senate,Jr,95538999.19,Grassroots Media,58164078.24,AL Media (Adelstein Liston),14215742.0,ActBlue,4345928.509999999,Anne Lewis Strategies,3466766.9000000004,Liquid Soul Media,2106887.58,Fuse,1714825.12,Deliver Strategies,1442490.33,Zero Week Solutions,1000000.0,Magnus Pearson Media,995084.11,Payroll Data Processing (Payroll),977615.6800000002,Media & Ads,77569943.06,Credit Card Processing Fees,4472097.84,Digital & Social Media Consulting,3466766.9000000004,Campaign Consulting,2050028.35,Salary & Payroll,1945370.05,Canvassing & Field Work,1195309.14,Fundraising & Fundraising Consulting,867144.9199999999,General Operations & Supplies,645451.3,Credit Card Payment & Bank Fees,612882.9600000001,Digital Advertising,535402.56
19,HI,Mazie K. Hirono,U.S. Senate,Jr,2665024.61,Screen Strategies Media,863231.0,Authentic Campaigns,170909.72,Trilogy Interactive,149673.38999999998,Benchmark Strategies,120954.84,Automatic Data Processing (ADP) (Payroll),111550.56,Anne Lewis Strategies,95015.5,Petel & Company,93204.22,Capitol Compliance Associates,87350.26999999999,Expedition Strategies,85845.31,Bankcard Center,66602.4,Media & Ads,870490.8200000001,Compliance Services,258259.99,Digital & Social Media Consulting,244688.89,Salary & Payroll,220723.76,Fundraising & Fundraising Consulting,175702.83,Credit Card Processing Fees,146863.36,Travel & Lodging,129611.27,Campaign Signs & Paraphernalia,111630.22,Polling & Research,85845.31,Meals & Catering,83496.98999999999
20,HI,Brian Emmaneul Schatz,U.S. Senate,Sr,1426108.62,Screen Strategies Media,475806.0,Staradvertiseroahu Publications,139463.31,Lori B Lafave,132000.0,Business Card Services,99253.38,Anzalone Liszt Grove Research,50900.0,Avis,50870.0,Politico Government Strategy & Communications,49174.56999999999,Capitol Compliance Associates,49158.600000000006,Automatic Data Processing (ADP) (Payroll),30318.35,Ward Plaza Warehouse,28795.96,Media & Ads,616297.43,Fundraising & Fundraising Consulting,132307.61,Credit Card Payment & Bank Fees,114410.72,Travel & Lodging,92107.99,Meals & Catering,81384.64,Salary & Payroll,61450.01,Polling & Research,50900.0,"PR, Communications, & Marketing",49938.72000000001,Compliance Services,49158.600000000006,Office Expenses,43580.97
21,ID,Michael D. Crapo,U.S. Senate,Sr,4410241.409999999,Alexandria Sandlerinnocenzi Inc -,1357809.08,Arena,656320.75,Intuit,248837.82,Riverwood Strategies,181909.6,Public Opinion Strategies,149500.0,Barracks Row Strategies,140671.66999999998,Spartac,139271.94,Highwood Capital,120265.48,The Voyageur Company,98990.15,Jason Arrington,70469.77999999998,Media & Ads,1499727.68,Digital Advertising,662358.1799999999,Fundraising & Fundraising Consulting,522455.77,Software & Technology,255669.4,Salary & Payroll,218278.86,Meals & Catering,186301.74,Polling & Research,149500.0,General Operations & Supplies,126347.5,Travel & Lodging,116093.26,Campaign Consulting,106272.71
22,ID,James E. Risch,U.S. Senate,Jr,1650949.1399999997,FP1 Strategies,513962.47,Chase,143639.59,The Endicott Group,124331.47,MDI Imaging,120908.43,Autosort,110066.11,Political Administrative Svcs,53500.0,Moore Information Group,46850.0,America Direct,44930.65,Jedsplit Creative,41000.96,America Response,39725.31,Media & Ads,493125.26,Credit Card Payment & Bank Fees,167873.66,"PR, Communications, & Marketing",145216.11,Shipping & Postage,131481.81,Accounting & Financial Management,124331.47,Direct Mail,118149.0,Travel & Lodging,110086.82,Compliance Services,53500.0,Polling & Research,46850.0,Credit Card Processing Fees,44465.91999999999
23,IL,Tammy Duckworth,U.S. Senate,Jr,8697641.26,Screen Strategies Media,3163066.0,Paychex (Payroll),1200742.62,My Vote Counts PAC - Federal,620088.6,Nrdc Action Fund Inc PAC,548655.5800000001,Prolist,277531.73,Bully Pulpit Interactive,277123.48,Normington Petts & Associates,193419.45,Linemark Printing,144531.09999999998,Sierra Club Political Committee,138972.41999999998,Snyder Pickerill Media,128343.51,Media & Ads,3326822.58,Salary & Payroll,2084837.22,Meals & Catering,675940.1699999999,Printing,462360.8,Digital Advertising,278180.79000000004,Payroll Tax,270335.43000000005,Travel & Lodging,262017.52,Polling & Research,193419.45,Direct Mail,174496.50999999998,Fundraising & Fundraising Consulting,145214.28999999998
24,IL,Richard J. Durbin,U.S. Senate,Sr,7753437.859999999,Grassroots Media,4024656.84,Groundswell Public Strategies Inc (GPS Impact),1075902.13,Resonance Campaigns,349982.52,Sikich LLP,245667.12,Wilke Communications,243712.0,Nancy Kohn Consulting,167286.75,Assemble The Agency,160645.44999999998,Lori Lafave,152000.0,Hart Research Associates,133000.0,Capitol Compliance Associates,89514.7,Media & Ads,4051390.41,Digital Advertising,1097828.84,Printing,422352.61,Fundraising & Fundraising Consulting,334009.91000000003,Salary & Payroll,323801.36000000004,Direct Mail,253051.0,Digital & Social Media Consulting,196168.93,Credit Card Payment & Bank Fees,136036.71,Polling & Research,133000.0,Payroll Tax,103949.35
25,IN,Mike Braun,U.S. Senate,Jr,17142066.07,Jamestown Associates,12721822.9,The Stoneridge Group,1231448.7599999998,Mark It Red,365125.53,SCM Associates,339093.75,The Endicott Group,209268.6,Automatic Data Processing (ADP) (Payroll),207626.51,American Viewpoint,193720.06,Anedot,162408.14,Press Works,159442.07,Daniels Spaulding Consulting,142124.91,"PR, Communications, & Marketing",12750664.500000002,Fundraising & Fundraising Consulting,1432517.4700000002,Salary & Payroll,424993.81000000006,Software & Technology,365125.53,Direct Mail,339093.75,Accounting & Financial Management,232032.49,Polling & Research,193720.06,Credit Card Processing Fees,181659.41,Credit Card Payment & Bank Fees,170915.45,Media & Ads,162460.75000000003
26,IN,Todd C. Young,U.S. Senate,Sr,10956498.11,BrabenderCox,6150627.62,Cavalry,1384690.65,Brabebdercox,433367.0,The Voyageur Company,300025.37,Public Opinion Strategies,233471.2,Optimus Consulting,207052.5,Holloway Consulting,184773.6,Ec Consulting,160347.44999999998,Might And Main,143357.03,Paycor,122608.54,"PR, Communications, & Marketing",6212154.83,Campaign Consulting,1510853.28,Media & Ads,762334.65,Fundraising & Fundraising Consulting,365219.78,Salary & Payroll,311605.41,Direct Mail,290904.84,Polling & Research,233471.2,Accounting & Financial Management,178899.68,General Operations & Supplies,147059.24,Payroll Tax,134086.1
27,IA,Joni K. Ernst,U.S. Senate,Jr,27777912.52,Enterprise,14644280.7,Targeted Victory,6893932.840000001,Win Red,1113224.75,Holloway Consulting,1013190.9,Insperity,973919.77,Something Else Strategies,396808.95,The Tarrance Group,243899.54,Jamestown Associates,218335.67,Samuel Pritchard,177970.6,Southwest Publishing And Mailing,176071.29,Travel & Lodging,14706672.510000004,Credit Card Processing Fees,8035468.1,Fundraising & Fundraising Consulting,1019797.18,Salary & Payroll Processing Fees,973919.77,Salary & Payroll,712869.5900000001,Media & Ads,412958.96,Campaign Consulting,381912.91,"PR, Communications, & Marketing",291520.86,Polling & Research,243899.54,Printing,233123.35
28,IA,Charles E. Grassley,U.S. Senate,Sr,9626190.42,Sam Marketing Services,4686233.87,Strategic Perception,678579.4299999999,The Richard Norman Company,674012.15,AL Media (Adelstein Liston),649374.3500000001,Kabel Business Services,341144.92,Republican Party Of Iowa,177903.16,The Tarrance Group,156489.5,Aristeia Group,143355.16999999998,Maxwell & Associates,120000.0,Nite Owl Printing,117040.69,"PR, Communications, & Marketing",4832617.33,Fundraising & Fundraising Consulting,951910.17,Direct Mail,727207.3800000001,Media & Ads,717511.7,Salary & Payroll,625769.39,Printing,301106.99,Campaign Consulting,243823.1,General Operations & Supplies,222253.36,Travel & Lodging,190047.47,Payroll Tax,168077.27000000002
29,KS,Roger Wayne Marshall,U.S. Senate,Jr,6868735.31,Strategic Media Services,4179783.0,Solutionguard,268257.72000000003,Big Dog Strategies,267026.7,The Stanton Group,231833.92,Graham Advisors,179004.36000000002,American Express (Amex),172764.71,Public Opinion Strategies,165500.0,Win Red,98208.8,Deep Root Analytics,85000.0,Eric Pahls,81800.0,Media & Ads,4340425.24,Campaign Consulting,691333.76,Fundraising & Fundraising Consulting,297110.12,Office Expenses,284186.97,Credit Card Payment & Bank Fees,185627.2,Polling & Research,165500.0,Digital Advertising,128741.29,Credit Card Processing Fees,109230.93000000002,Data & Database Services,106259.5,Direct Mail,105066.54
30,KS,Jerry W. Moran,U.S. Senate,Sr,3677248.36,Pinpoint Media,1290097.0,Singularis Group,392789.99,Connect Strategic Communications,324496.51,Tuesday Solutions,172414.18,Visa,137283.99,Internal Revenue Service (IRS) (Payroll Tax),111875.25,Winfrey & Company,109284.7,Scott Howell & Company,98711.64,Gottschalk & Co Cpa's,60985.21,Public Opinion Strategies,59750.0,Media & Ads,1449869.7900000005,Credit Card Payment & Bank Fees,460731.08,Utilities,339112.93000000005,Salary & Payroll,333443.87,Printing,226028.41000000003,Event Expenses,182291.35,Payroll Tax,111875.25,Travel & Lodging,89863.54000000001,Accounting & Financial Management,86551.48999999999,Meals & Catering,82197.90000000001
31,KY,Addison Mitchell McConnell,U.S. Senate,Sr,59395797.48,Mentzer Media,21376934.6,Targeted Victory,14614342.250000002,Cavalry,11657341.59,The Lukens Company,2629580.31,Win Red,2089420.69,Person 2 Person,1433083.12,McCarthy Hennings Whalen Inc,749923.8099999999,Southwest Publishing And Mailing,505203.72,Axis Research,404510.0,Corporate Communications Group,378311.53,Media & Ads,22232381.3,Credit Card Processing Fees,16766961.140000002,Campaign Consulting,11812941.59,Direct Mail,3003931.16,Fundraising & Fundraising Consulting,1663151.05,Shipping & Postage,779998.7600000001,Polling & Research,467362.0,Utilities,415625.79999999993,Printing,312760.66,Salary & Payroll,287779.73000000004
32,KY,Rand Paul,U.S. Senate,Jr,4674000.95,Strategic Media Placement,1331698.0,First Bank,334228.76,Insperity,187447.67,The Strategy Group,186312.51,Fabrizio Lee & Associates,181103.8,Advictory,160000.0,Enterprise,149547.43999999997,AL Media (Adelstein Liston),148268.47,Campaign Solutions,134493.72,Broghamer Consulting,120070.32,Media & Ads,1367500.31,Credit Card Payment & Bank Fees,401325.04,Travel & Lodging,328719.12,Salary & Payroll,240958.86,Direct Mail,203232.7200000001,Printing,193873.67,Salary & Payroll Processing Fees,187447.67,Polling & Research,181103.8,Digital Advertising,156679.59,Fundraising & Fundraising Consulting,155960.43
33,LA,William Cassidy,U.S. Senate,Sr,8158446.899999999,Smart Media Group,4845036.0,Paycor,545383.64,Targeted Victory,498966.19,ASP Media,275055.0,The Baker Group,272112.1,Fabrizio Lee & Associates,189950.0,The Townsend Group,145645.75,American Express (Amex),132940.69,LVH Consulting,123000.61,Drew Maranto,104447.13999999998,Media & Ads,5150229.86,Salary & Payroll,756061.1,Credit Card Processing Fees,578405.8,Campaign Consulting,446233.4,Polling & Research,189950.0,Payroll Tax,187439.44,Credit Card Payment & Bank Fees,173797.97999999998,Fundraising & Fundraising Consulting,151150.47,Accounting & Financial Management,111239.88,Compliance Services,73667.83
34,LA,John Neely Kennedy,U.S. Senate,Jr,6294248.0,Smart Media Group,4278284.91,Strategic Perception,475659.11,The Voyageur Company,179814.41999999998,Allen Public Affairs,122100.0,Preston W Robinson,105903.93,High Level Solutions,98540.0,Courtney Guastella,88000.0,Lr3 Consulting,69702.1,Internal Revenue Service (IRS) (Payroll Tax),64604.76,Facebook,60115.66,Media & Ads,4809900.88,Campaign Consulting,339396.0,Salary & Payroll,181808.13000000003,Direct Mail,180371.27,Fundraising & Fundraising Consulting,151260.41999999998,Credit Card Processing Fees,91386.12,Digital Advertising,84850.66,Payroll Tax,71166.76000000001,Accounting & Financial Management,65899.88,Polling & Research,56580.84
35,ME,Susan Margaret Collins,U.S. Senate,Sr,24476254.16,Mentzer Media,14312503.75,Targeted Victory,6008738.91,McCarthy Hennings Whalen Inc,827373.6699999999,Bangor Payroll Services,529343.76,Moore Information Group,334065.0,The Morning Group,307570.39,Aristeia Group,194213.4,Steven Abbott,179479.33,Red Hill Strategies,113155.79,Amy Abbott,106168.86,Media & Ads,15303164.95,Credit Card Processing Fees,6050947.79,Salary & Payroll,651761.45,Fundraising & Fundraising Consulting,566236.9799999999,Salary & Payroll Processing Fees,529343.76,Polling & Research,334065.0,Campaign Consulting,174897.02,Printing,106333.99,Travel & Lodging,102637.52,Direct Mail,100628.0
36,ME,Angus S. King,U.S. Senate,Jr,4327705.510000001,Yellin-McCarron,982556.99,Paychex (Payroll),515403.99,The New Media Firm,457220.4,The Strategy Group,271478.84,Drummond Woodsum,188663.19,Cardmember Service/Card Service Center,124510.14,Anne Lewis Strategies,122472.81,Lori Lafave,110500.0,Kiley & Company,78700.0,Amy C Pfaehler,63951.14,Travel & Lodging,1047344.76,Salary & Payroll,711825.01,Media & Ads,549443.43,Campaign Consulting,376086.03,Direct Mail,271739.09,Credit Card Payment & Bank Fees,170750.92,Payroll Tax,158008.41,Fundraising & Fundraising Consulting,144113.25999999998,Digital & Social Media Consulting,122472.81,Meals & Catering,108757.45
37,MD,Benjamin L. Cardin,U.S. Senate,Sr,3105909.4000000004,Blue West Media,1707108.0,Four Freedoms Consulting,113007.28,Paychex (Payroll Tax),111748.87,Susan Strauss,105429.45,Putnam Partners,96338.19,Erickson & Co,84810.54000000001,Anne Lewis Strategies,77700.0,Hart Research Associates,77000.0,Cardmember Services,62475.89,Jodi L Schwartz,57753.740000000005,Media & Ads,1874119.47,Fundraising & Fundraising Consulting,259774.69,Salary & Payroll,217011.43,Credit Card Payment & Bank Fees,142044.83,Payroll Tax,111748.87,Digital & Social Media Consulting,77700.0,Polling & Research,77000.0,Meals & Catering,68084.39,General Operations & Supplies,38060.61,Printing,32989.5
