STATE,NAME,ASSOCIATED QUERY,OFFICE,DISTRICT,ELECTION YEAR
AL,CHARLOTTE MEADOWS,CHARLOTTE BORDEN MEADOWS,STATE HOUSE,74,2019.0
AL,TIMOTHY I. MELSON,TIMOTHY IVAN MELSON,STATE SENATE,1,2018.0
AL,ARNOLD G. MOONEY,ARNOLD G MOONEY II,STATE HOUSE,43,2018.0
AL,MARY MOORE,MARY ANN MOORE,STATE HOUSE,59,2018.0
AL,PARKER DUNCAN MOORE,PARKER DUNCAN MOORE,STATE HOUSE,4,2018.0
AL,TASHINA MORRIS,TASHINA MONET MORRIS,STATE HOUSE,77,2018.0
AL,BECKY NORDGREN,BECKY NORDGREN,STATE HOUSE,29,2018.0
AL,ED OLIVER,EDWARD BANKS OLIVER,STATE HOUSE,81,2018.0
AL,ARTHUR W. ORR,ARTHUR ORR,STATE SENATE,3,2018.0
AL,PHILLIP PETTUS,PHILLIP J PETTUS,STATE HOUSE,1,2018.0
AL,WILLIAM STITT POOLE,WILLIAM POOLE III,STATE HOUSE,63,2018.0
AL,RANDY PRICE,RANDY PRICE,STATE SENATE,13,2018.0
AL,CHRIS PRINGLE,CHRIS PRINGLE,STATE HOUSE,101,2018.0
AL,NEIL RAFFERTY,NEIL RAFFERTY,STATE HOUSE,54,2018.0
AL,GREG J. REED,GREG J REED,STATE SENATE,5,2018.0
AL,REX REYNOLDS,REX REYNOLDS,STATE HOUSE,21,2018.0
AL,KERRY RICH,KERRY RICH,STATE HOUSE,26,2018.0
AL,BEN ROBBINS,BEN ROBBINS,STATE HOUSE,33,2018.0
AL,DAN ROBERTS,DEREK RYAN ROBERTSON,STATE SENATE,15,2018.0
AL,PRONCEY ROBERTSON,PRONCEY ROBERTSON,STATE HOUSE,7,2018.0
AL,JOHN W. ROGERS,JOHN WESLEY ROGERS JR.,STATE HOUSE,52,2018.0
AL,CONNIE COONER ROWE,CONNIE COONER ROWE,STATE HOUSE,13,2018.0
AL,HOWARD SANDERFORD,JAMES HOWARD SANDERFORD,STATE HOUSE,20,2018.0
AL,MALIKA SANDERS-FORTIER,MALIKA ASHA SANDERS FORTIER,STATE SENATE,23,2018.0
AL,CLAY SCOFIELD,CLAY DANIEL SCOFIELD,STATE SENATE,9,2018.0
AL,RODERICK HAMPTON SCOTT,RODERICK SCOTT,STATE HOUSE,55,2018.0
AL,CHRIS SELLS,CHRIS SELLS,STATE HOUSE,90,2018.0
AL,DAVID SESSIONS,DAVID ROSS SESSIONS,STATE SENATE,35,2018.0
AL,GINNY SHAVER,GINNY SHAVER,STATE HOUSE,39,2018.0
AL,RANDALL SHEDD,RANDALL SHEDD,STATE HOUSE,11,2018.0
AL,SHAY SHELNUTT,SHAY WESLEY SHELNUTT,STATE SENATE,17,2018.0
AL,HARRY SHIVER,HARRY SHIVER,STATE HOUSE,64,2018.0
AL,MATT SIMPSON,MATT SIMPSON,STATE HOUSE,96,2018.0
AL,BOBBY D. SINGLETON,BOBBY D SINGLETON,STATE SENATE,24,2018.0
AL,VAN SMITH,NOT FOUND,STATE HOUSE,42,2019.0
AL,RODGER MELL SMITHERMAN,RODGER MELL SMITHERMAN,STATE SENATE,18,2018.0
AL,ANDREW SORRELL,JUSTIN ANDREW SORRELL,STATE HOUSE,3,2018.0
AL,JEFF SORRELLS,JEFF ALAN SORRELLS,STATE HOUSE,87,2018.0
AL,KYLE SOUTH,KYLE SOUTH,STATE HOUSE,16,2018.0
AL,SCOTT STADTHAGEN,SCOTT STADTHAGEN JR.,STATE HOUSE,9,2018.0
AL,DAVID STANDRIDGE,DAVID STANDRIDGE,STATE HOUSE,34,2018.0
AL,SHANE STRINGER,SHANE STRINGER,STATE HOUSE,102,2018.0
AL,LARRY COLLINS STUTTS,LARRY COLLINS STUTTS,STATE SENATE,6,2018.0
AL,RODNEY SULLIVAN,WILLIAM RODNEY SULLIVAN JR.,STATE HOUSE,61,2018.0
AL,BENJAMIN ALLEN TREADAWAY,BENJAMIN ALLEN TREADAWAY,STATE HOUSE,51,2018.0
AL,TIM WADSWORTH,TIM WADSWORTH,STATE HOUSE,14,2018.0
AL,JT WAGGONER,JAMES T WAGGONER JR.,STATE SENATE,16,2018.0
AL,PEBBLIN WALKER WARREN,PEBBLIN WALKER WARREN,STATE HOUSE,82,2018.0
AL,TOM WHATLEY,TOM WHATLEY,STATE SENATE,27,2018.0
AL,DAVID WHEELER,DAVID WILLIAM WHEELER,STATE HOUSE,47,2018.0
AL,ANDY WHITT,ANDY WHITT,STATE HOUSE,6,2018.0
AL,RITCHIE WHORTON,RITCHIE AARON WHORTON,STATE HOUSE,22,2018.0
AL,MARGIE WILCOX,JULIA MARGIE M WILCOX,STATE HOUSE,104,2018.0
AL,JOHN W. WILLIAMS,JOHN W WILLIAMS SR.,STATE SENATE,34,2018.0
AL,RICH WINGO,RICH ALLEN WINGO,STATE HOUSE,62,2018.0
AL,RANDY WOOD,RANDY WOOD,STATE HOUSE,36,2018.0
AL,DEBBIE HAMBY WOOD,DEBBIE HAMBY WOOD,STATE HOUSE,38,2018.0
AZ,LELA ALSTON,"ALSTON, LELA",STATE SENATE,24,2020.0
AZ,RICHARD ANDRADE,"ANDRADE, RICHARD C",STATE HOUSE,29,2020.0
AZ,NANCY K. BARTO,"BARTO, NANCY K",STATE SENATE,15,2020.0
AZ,BRENDA J. BARTON,"BARTON, BRENDA",STATE HOUSE,6,2020.0
AZ,LEO BIASIUCCI,"BIASIUCCI, LEO",STATE HOUSE,5,2020.0
AZ,WALTER BLACKMAN,NOT FOUND,STATE HOUSE,6,2020.0
AZ,JASMINE BLACKWATER-NYGREN,NOT FOUND,STATE HOUSE,7,
AZ,REGINALD BOLDING,"BOLDING, REGINALD",STATE HOUSE,27,2020.0
AZ,SHAWNNA BOLICK,"BOLICK, SHAWNNA",STATE HOUSE,20,2020.0
AZ,SONNY BORRELLI,"BORRELLI, SONNY",STATE SENATE,5,2020.0
AZ,RUSSELL W. BOWERS,"BOWERS, RUSSELL W RUSTY",STATE HOUSE,25,2020.0
AZ,SEAN BOWIE,"BOWIE, SEAN",STATE SENATE,18,2020.0
AZ,PAUL BOYER,"BOYER, PAUL",STATE SENATE,20,2020.0
AZ,JUDY BURGES,"BURGES, JUDY",STATE HOUSE,1,2020.0
AZ,KELLI BUTLER,"BUTLER, KELLI",STATE HOUSE,28,2020.0
AZ,ANDRÉS CANO,NOT FOUND,STATE HOUSE,3,2020.0
AZ,FRANK CARROLL,"CARROLL, FRANK",STATE HOUSE,22,2020.0
AZ,JOSEPH CHAPLIK,"CHAPLIK, JOSEPH",STATE HOUSE,23,2020.0
AZ,CÉSÁR CHAVEZ,"CHAVEZ, CESAR",STATE HOUSE,29,2020.0
AZ,GUADALUPE CHAVIRA CONTRERAS,"CONTRERAS, GUADALUPE CHAVIRA",STATE SENATE,19,2020.0
AZ,REGINA E. COBB,"COBB, REGINA",STATE HOUSE,5,2020.0
AZ,DAVID COOK,"COOK, DAVID",STATE HOUSE,8,2020.0
AZ,ANDREA DALESSANDRO,"DALESSANDRO, ANDREA",STATE HOUSE,2,2020.0
AZ,DOMINGO DEGRAZIA,"DEGRAZIA, DOMINGO STAR",STATE HOUSE,10,2020.0
AZ,DOUG DUCEY,"DUCEY, DOUG",GOVERNOR,,2018.0
AZ,TIMOTHY DUNN,"DUNN, TIMOTHY",STATE HOUSE,13,2020.0
AZ,KIRSTEN ENGEL,"ENGEL, KIRSTEN",STATE SENATE,10,2020.0
AZ,DENISE EPSTEIN,"EPSTEIN, DENISE MITZI",STATE HOUSE,18,2020.0
AZ,DIEGO ESPINOZA,"ESPINOZA, JOSE DIEGO",STATE HOUSE,19,2020.0
AZ,KAREN FANN,"FANN, KAREN",STATE SENATE,1,2020.0
AZ,CHARLENE R. FERNANDEZ,"FERNANDEZ, CHARLENE R",STATE HOUSE,4,2020.0
AZ,JOHN FILLMORE,"FILLMORE, JOHN",STATE HOUSE,16,2020.0
AZ,MARK FINCHEM,"FINCHEM, MARK",STATE HOUSE,11,2020.0
AZ,RANDALL FRIESE,"FRIESE, RANDALL S",STATE HOUSE,9,2020.0
AZ,ROSANNA GABALDÓN,"GABALDON, ROSANNA",STATE SENATE,2,2020.0
AZ,SALLY ANN GONZALES,"GONZALES, SALLY",STATE SENATE,3,2020.0
AZ,DAVID M. GOWAN,"GOWAN, DAVID",STATE SENATE,14,2020.0
AZ,TRAVIS GRANTHAM,"GRANTHAM, TRAVIS",STATE HOUSE,12,2020.0
AZ,RICK GRAY,"GRAY, RICK",STATE SENATE,21,2020.0
AZ,GAIL GRIFFIN,"GRIFFIN, GAIL",STATE HOUSE,14,2020.0
AZ,DANIEL HERNANDEZ,"HERNANDEZ, DANIEL",STATE HOUSE,2,2020.0
AZ,ALMA HERNANDEZ,"HERNANDEZ, ALMA C",STATE HOUSE,3,2020.0
AZ,MELODY HERNANDEZ,"HERNANDEZ, MELODY SAVANNAH",STATE HOUSE,26,2020.0
AZ,JAKE HOFFMAN,"HOFFMAN, JAKE",STATE HOUSE,12,2020.0
AZ,JENNIFER JERMAINE,"JERMAINE, JENNIFER",STATE HOUSE,18,2020.0
AZ,JOEL JOHN,"JOHN, JOEL DEE",STATE HOUSE,4,2020.0
AZ,STEVE KAISER,"KAISER, STEVE",STATE HOUSE,15,2020.0
AZ,JOHN KAVANAGH,"KAVANAGH, JOHN",STATE HOUSE,23,2020.0
AZ,SINE KERR,"KERR, SINE",STATE SENATE,13,2020.0
AZ,VENDEN LEACH,"LEACH, VENDEN VINCE W",STATE SENATE,11,2020.0
AZ,AARON LIEBERMAN,"LIEBERMAN, AARON",STATE HOUSE,28,2020.0
AZ,DAVID LIVINGSTON,"LIVINGSTON, DAVID",STATE SENATE,22,2020.0
AZ,JENNIFER LONGDON,"LONGDON, JENNIFER",STATE HOUSE,24,2020.0
AZ,CHRISTINE PORTER MARSH,"MARSH, CHRISTINE",STATE SENATE,28,2020.0
AZ,JUAN MENDEZ,"MENDEZ, JUAN JOSE",STATE SENATE,26,2020.0
AZ,JAVAN MESNARD,"MESNARD, J. D.",STATE SENATE,17,2020.0
AZ,ROBERT MEZA,"MEZA, ROBERT",STATE HOUSE,30,2020.0
AZ,OTONIEL NAVARRETE,"NAVARRETE, OTONIEL TONY",STATE SENATE,30,2020.0
AZ,QUANG NGUYEN,"NGUYEN, QUANG",STATE HOUSE,1,2020.0
AZ,BECKY NUTT,"NUTT, BECKY ANN",STATE HOUSE,14,2020.0
AZ,JOANNE OSBORNE,"OSBORNE, JOANNE W",STATE HOUSE,13,2020.0
AZ,LISA OTONDO,"OTONDO, LISA",STATE SENATE,4,2020.0
AZ,TYLER PACE,"PACE, TYLER",STATE SENATE,25,2020.0
AZ,JACQUELINE PARKER,"PARKER, JACQUELINE",STATE HOUSE,16,2020.0
AZ,JENNIFER PAWLIK,"PAWLIK, JENNIFER",STATE HOUSE,17,2020.0
AZ,KEVIN PAYNE,"PAYNE, KEVIN",STATE HOUSE,21,2020.0
AZ,JAMESCITA MAE PESHLAKAI,"PESHLAKAI, JAMESCITA MAE",STATE SENATE,7,2020.0
AZ,WARREN PETERSEN,"PETERSEN, WARREN",STATE SENATE,12,2020.0
AZ,BEVERLY PINGERELLI,"PINGERELLI, BEVERLY",STATE HOUSE,21,2020.0
AZ,PAMELA POWERS HANNLEY,"POWERS HANNLEY, PAMELA",STATE HOUSE,9,2020.0
AZ,FRANK PRATT,"PRATT, FRANK",STATE HOUSE,8,2020.0
AZ,MARTíN J. QUEZADA,"QUEZADA, MARTIN J.",STATE SENATE,29,2020.0
AZ,REBECCA RIOS,"RIOS, REBECCA",STATE SENATE,27,2020.0
AZ,BRET ROBERTS,"ROBERTS, BRET",STATE HOUSE,11,2020.0
AZ,DIEGO RODRIGUEZ,"RODRIGUEZ, DIEGO",STATE HOUSE,27,2020.0
AZ,WENDY J. ROGERS,"ROGERS, WENDY",STATE SENATE,6,2020.0
AZ,ATHENA SALMAN,"SALMAN, ATHENA",STATE HOUSE,26,2020.0
AZ,JUDY SCHWIEBERT,"SCHWIEBERT, JUDY",STATE HOUSE,20,2020.0
AZ,AMISH SHAH,"SHAH, AMISH",STATE HOUSE,24,2020.0
AZ,THOMAS J. SHOPE,"SHOPE, THOMAS",STATE SENATE,8,2020.0
AZ,LORENZO SIERRA,"SIERRA, LORENZO",STATE HOUSE,19,2020.0
AZ,STEPHANIE STAHL HAMILTON,NOT FOUND,STATE HOUSE,10,2020.0
AZ,VICTORIA STEELE,NOT FOUND,STATE SENATE,9,2020.0
AZ,RAQUEL TERÁN,NOT FOUND,STATE HOUSE,30,2020.0
AZ,BEN TOMA,NOT FOUND,STATE HOUSE,22,2020.0
AZ,KELLY TOWNSEND,NOT FOUND,STATE SENATE,16,2020.0
AZ,MYRON TSOSIE,NOT FOUND,STATE HOUSE,7,2020.0
AZ,MICHELLE UDALL,NOT FOUND,STATE HOUSE,25,2020.0
AZ,MICHELLE B. UGENTI-RITA,NOT FOUND,STATE SENATE,23,2020.0
AZ,JEFF WENINGER,NOT FOUND,STATE HOUSE,17,2020.0
AZ,JUSTIN WILMETH,NOT FOUND,STATE HOUSE,15,2020.0
CA,CECILIA M. AGUIAR-CURRY,CECILIA AGUIAR-CURRY FOR ASSEMBLY,STATE ASSEMBLY,4,2020.0
CA,BENJAMIN ALLEN,BEN ALLEN FOR SENATE,STATE SENATE,26,2018.0
CA,JOAQUIN ARAMBULA,DR. JOAQUIN ARAMBULA FOR ASSEMBLY ,STATE ASSEMBLY,31,2020.0
CA,BOB J. ARCHULETA,BOB ARCHULETA FOR SENATE ,STATE SENATE,32,2018.0
CA,TONI G. ATKINS,TONI ATKINS FOR STATE ASSEMBLY ,STATE SENATE,39,2020.0
CA,PATRICIA C. BATES,PAT BATES FOR SENATE ,STATE SENATE,36,2018.0
CA,REBECCA BAUER-KAHAN,REBECCA BAUER-KAHAN FOR ASSEMBLY ,STATE ASSEMBLY,16,2020.0
CA,JOSH BECKER,JOSH BECKER FOR SENATE ,STATE SENATE,13,2020.0
CA,STEVE BENNETT,STEPHEN A BENNETT FOR ASSEMBLY,STATE ASSEMBLY,37,2020.0
CA,MARC BERMAN,MARC BERMAN FOR ASSEMBLY ,STATE ASSEMBLY,24,2020.0
CA,FRANK BIGELOW,FRIENDS OF FRANK BIGELOW FOR ASSEMBLY ,STATE ASSEMBLY,5,2020.0
CA,RICHARD BLOOM,RICHARD BLOOM FOR STATE CONTROLLER ,STATE ASSEMBLY,50,2020.0
CA,TASHA BOERNER HORVATH,TASHA BOERNER HORVATH FOR ASSEMBLY ,STATE ASSEMBLY,76,2020.0
CA,ANDREAS BORGEAS,NOT FOUND,STATE SENATE,8,2018.0
CA,STEVEN CRAIG BRADFORD,STEVEN BRADFORD FOR SENATE ,STATE SENATE,35,2020.0
CA,AUTUMN R. BURKE,AUTUMN BURKE FOR ASSEMBLY ,STATE ASSEMBLY,62,2020.0
CA,ANNA M. CABALLERO,ANNA CABALLERO FOR SENATE ,STATE SENATE,12,2018.0
CA,LISA CALDERON,NOT FOUND,STATE ASSEMBLY,57,2020.0
CA,WENDY CARRILLO,WENDY CARRILLO FOR ASSEMBLY ,STATE ASSEMBLY,51,2020.0
CA,SABRINA CERVANTES,SABRINA CERVANTES FOR ASSEMBLY ,STATE ASSEMBLY,60,2020.0
CA,EDWIN CHAU,ED CHAU FOR STATE ASSEMBLY,STATE ASSEMBLY,49,2020.0
CA,PHILLIP CHEN,PHILLIP CHEN FOR ASSEMBLY ,STATE ASSEMBLY,55,2020.0
CA,DAVID CHIU,DAVID CHIU FOR ASSEMBLY ,STATE ASSEMBLY,17,2020.0
CA,STEVEN S. CHOI,STEVEN CHOI FOR ASSEMBLY,STATE ASSEMBLY,68,2020.0
CA,KEN COOLEY,RE-ELECT KEN COOLEY FOR ASSEMBLY ,STATE ASSEMBLY,8,2020.0
CA,JIM COOPER,JIM COOPER FOR ASSEMBLY ,STATE ASSEMBLY,9,2020.0
CA,DAVE CORTESE,NOT FOUND,STATE SENATE,15,2020.0
CA,JORDAN CUNNINGHAM,JORDAN CUNNINGHAM FOR ASSEMBLY ,STATE ASSEMBLY,35,2020.0
CA,BRIAN DAHLE,BRIAN DAHLE FOR SENATE,STATE SENATE,1,2020.0
CA,MEGAN DAHLE,MEGAN DAHLE FOR ASSEMBLY ,STATE ASSEMBLY,1,2020.0
CA,TOM DALY,TOM DALY FOR ASSEMBLY ,STATE ASSEMBLY,69,2020.0
CA,LAURIE DAVIES,LAURIE DAVIES FOR ASSEMBLY ,STATE ASSEMBLY,73,2020.0
CA,BILL DODD,BILL DODD FOR SENATE,STATE SENATE,3,2020.0
CA,MARIA ELENA DURAZO,MARIA ELENA DURAZO DEMOCRAT FOR STATE SENATE ,STATE SENATE,24,2018.0
CA,SUSAN TALAMANTES EGGMAN,SUSAN EGGMAN FOR SENATE ,STATE SENATE,5,2020.0
CA,HEATH FLORA,HEATH FLORA FOR ASSEMBLY ,STATE ASSEMBLY,12,2020.0
CA,VINCE FONG,VINCE FONG FOR ASSEMBLY ,STATE ASSEMBLY,34,2020.0
CA,JIM FRAZIER,JIM FRAZIER FOR ASSEMBLY ,STATE ASSEMBLY,11,2020.0
CA,LAURA FRIEDMAN,LAURA FRIEDMAN FOR ASSEMBLY ,STATE ASSEMBLY,43,2020.0
CA,JESSE GABRIEL,JESSE GABRIEL FOR ASSEMBLY ,STATE ASSEMBLY,45,2020.0
CA,JAMES GALLAGHER,GALLAGHER FOR ASSEMBLY ,STATE ASSEMBLY,3,2020.0
CA,EDUARDO GARCIA,EDUARDO GARCIA FOR ASSEMBLY ,STATE ASSEMBLY,56,2020.0
CA,CRISTINA GARCIA,CRISTINA GARCIA FOR ASSEMBLY ,STATE ASSEMBLY,58,2020.0
CA,MIKE ANTHONY GIPSON,GIPSON FOR ASSEMBLY ,STATE ASSEMBLY,64,2020.0
CA,STEVE GLAZER,GLAZER FOR SENATE ,STATE SENATE,7,2020.0
CA,LORENA GONZALEZ,LORENA GONZALEZ FOR ASSEMBLY ,STATE ASSEMBLY,80,2020.0
CA,LENA GONZALEZ,LENA GONZALEZ FOR SENATE ,STATE SENATE,33,2020.0
CA,ADAM C. GRAY,ADAM GRAY FOR ASSEMBLY ,STATE ASSEMBLY,21,2020.0
CA,TIM GRAYSON,TIM GRAYSON FOR ASSEMBLY ,STATE ASSEMBLY,14,2020.0
CA,SHANNON L. GROVE,GROVE FOR SENATE ,STATE SENATE,16,2018.0
CA,ROBERT HERTZBERG,FRIENDS OF BOB HERTZBERG,STATE SENATE,18,2018.0
CA,CHRIS HOLDEN,HOLDEN FOR ASSEMBLY ,STATE ASSEMBLY,41,2020.0
CA,BEN HUESO,HUESO FOR SENATE,STATE SENATE,40,2018.0
CA,MELISSA HURTADO,HURTADO FOR SENATE ,STATE SENATE,14,2018.0
CA,JACQUI V. IRWIN,JACQUI IRWIN FOR ASSEMBLY ,STATE ASSEMBLY,44,2020.0
CA,BRIAN W. JONES,JONES FOR SENATE,STATE SENATE,38,2018.0
CA,REGINALD BYRON JONES-SAWYER,REGINALD JONES-SAWYER FOR ASSEMBLY ,STATE ASSEMBLY,59,2020.0
CA,ASH KALRA,ASH KALRA FOR CALIFORNIA - ASSEMBLY ,STATE ASSEMBLY,27,2020.0
CA,SYDNEY K. KAMLAGER,KAMLAGER FOR SENATE ,STATE SENATE,30,2020.0
CA,KEVIN KILEY,KEVIN KILEY FOR SENATE ,STATE ASSEMBLY,6,2020.0
CA,ELENI KOUNALAKIS,RE-ELECT ELENI KOUNALAKIS FOR LIEUTENANT GOVERNOR ,LIEUTENANT GOVERNOR,,2018.0
CA,TOM LACKEY,TOM LACKEY FOR ASSEMBLY ,STATE ASSEMBLY,36,2020.0
CA,JOHN S. LAIRD,JOHN LAIRD FOR SENATE ,STATE SENATE,17,2020.0
CA,ALEX LEE,RE-ELECT ALEX LEE FOR STATE ASSEMBLY ,STATE ASSEMBLY,25,2020.0
CA,MARC LEVINE,FRIENDS OF MARC LEVINE FOR ASSEMBLY ,STATE ASSEMBLY,10,2020.0
CA,CONNIE M. LEYVA,CONNIE M LEYVA FOR SENATE ,STATE SENATE,20,2018.0
CA,EVAN LOW,EVAN LOW FOR ASSEMBLY ,STATE ASSEMBLY,28,2020.0
